subject,label,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
subjects,rh_parsorbitalis,1131,724,3238,3.224,1.008,0.146,0.053,18,2.6
subjects,rh_parstriangularis,2083,1281,4509,2.591,1.09,0.127,0.049,24,4.2
subjects,rh_pericalcarine,2132,1402,3172,2.445,0.784,0.133,0.05,41,4.3
subjects,rh_postcentral,6177,4198,8799,1.811,0.842,0.104,0.025,44,6.4
subjects,rh_posteriorcingulate,1513,1050,3105,2.419,0.934,0.133,0.041,20,2.4
subjects,rh_precentral,8040,5269,13314,2.233,0.834,0.11,0.032,61,11.3
subjects,rh_precuneus,5638,3672,10649,2.49,0.944,0.118,0.037,54,8.6
subjects,rh_rostralanteriorcingulate,862,551,1708,2.421,0.941,0.107,0.031,6,1.1
subjects,rh_rostralmiddlefrontal,8003,5099,18348,2.743,1.025,0.135,0.052,100,17.3
subjects,rh_superiorfrontal,10087,6583,24300,2.803,1.072,0.121,0.042,101,16.9
subjects,rh_superiorparietal,8825,5744,16233,2.354,0.818,0.124,0.04,83,15.2
subjects,rh_superiortemporal,5346,3529,12535,2.82,1.08,0.1,0.025,34,5.7
subjects,rh_supramarginal,4538,3016,8733,2.29,1.031,0.117,0.037,45,6.7
subjects,rh_frontalpole,341,217,1324,3.716,0.942,0.188,0.09,8,1.3
subjects,rh_temporalpole,614,378,2609,3.938,0.838,0.103,0.038,5,0.9
subjects,rh_transversetemporal,555,352,1109,2.745,0.758,0.127,0.032,5,0.7
subjects,rh_insula,3067,2075,6798,2.898,1.234,0.098,0.051,184,3.5
subjects,lh_bankssts,1604,1093,2463,2.294,0.644,0.094,0.02,8,1.3
subjects,lh_caudalanteriorcingulate,1025,678,1970,2.644,0.827,0.147,0.039,16,1.5
subjects,lh_caudalmiddlefrontal,4151,2823,6297,2.017,0.552,0.121,0.027,34,4.7
subjects,lh_cuneus,2160,1552,3340,2.124,0.547,0.152,0.042,25,3.6
subjects,lh_entorhinal,719,478,2325,3.564,0.86,0.12,0.033,5,1.1
subjects,lh_fusiform,5720,4068,11526,2.701,0.629,0.143,0.041,67,9
subjects,lh_inferiorparietal,7032,4872,12491,2.252,0.699,0.13,0.035,68,9.7
subjects,lh_inferiortemporal,6171,4383,13751,2.809,0.814,0.139,0.039,71,10
subjects,lh_isthmuscingulate,1505,1022,2751,2.521,0.873,0.134,0.041,19,2.4
subjects,lh_lateraloccipital,7934,5594,13087,2.317,0.615,0.145,0.044,101,14.1
subjects,lh_lateralorbitofrontal,3830,2631,7520,2.535,0.923,0.134,0.038,45,5.6
subjects,lh_lingual,5030,3608,8332,2.238,0.643,0.144,0.043,59,8.4
subjects,lh_medialorbitofrontal,2929,2207,6104,2.483,0.955,0.138,0.147,71,29.7
subjects,lh_middletemporal,4858,3358,11189,2.733,0.849,0.119,0.028,45,5.6
subjects,lh_parahippocampal,1248,816,2099,2.246,0.63,0.078,0.014,5,0.7
subjects,lh_paracentral,1813,1223,2471,1.899,0.541,0.122,0.027,14,2
subjects,lh_parsopercularis,2192,1551,3811,2.027,0.627,0.126,0.032,25,2.8
subjects,lh_parsorbitalis,1039,718,2056,2.327,0.824,0.162,0.05,18,2.1
subjects,lh_parstriangularis,1921,1384,3837,2.259,0.734,0.149,0.041,25,3.2
subjects,lh_pericalcarine,1850,1309,2116,1.909,0.502,0.151,0.049,30,3.8
subjects,lh_postcentral,7621,5087,9889,1.775,0.627,0.117,0.028,61,8.6
subjects,lh_posteriorcingulate,1724,1173,2461,2.035,0.976,0.14,0.037,25,2.5
subjects,lh_precentral,8328,5413,12082,2.06,0.633,0.114,0.027,64,9.3
subjects,lh_precuneus,5410,3782,8938,2.181,0.617,0.134,0.036,56,8
subjects,lh_rostralanteriorcingulate,1210,810,2272,2.473,0.955,0.147,0.144,70,4.3
subjects,lh_rostralmiddlefrontal,7544,5413,12871,1.993,0.727,0.152,0.052,111,15.1
subjects,lh_superiorfrontal,10710,7419,21102,2.358,0.875,0.13,0.035,110,14.9
subjects,lh_superiorparietal,8327,5694,12010,1.966,0.565,0.13,0.031,78,10.6
subjects,lh_superiortemporal,5466,3662,9949,2.438,0.748,0.104,0.022,40,5.2
subjects,lh_supramarginal,5158,3655,9598,2.408,0.738,0.139,0.038,57,7.5
subjects,lh_frontalpole,326,236,760,2.425,0.565,0.194,0.079,7,1.1
subjects,lh_temporalpole,700,492,2849,4.053,0.555,0.134,0.042,8,1.2
subjects,lh_transversetemporal,609,408,982,2.349,0.54,0.131,0.032,6,0.7
subjects,lh_insula,3364,2268,6838,2.933,1.168,0.097,0.031,60,3.1
subjects,rh_bankssts,1272,899,1831,1.977,0.553,0.108,0.022,10,1.1
subjects,rh_caudalanteriorcingulate,1087,736,1725,2.438,0.729,0.143,0.036,16,1.3
subjects,rh_caudalmiddlefrontal,2509,1761,4726,2.36,0.63,0.129,0.032,25,3.2
subjects,rh_cuneus,2527,1860,4230,2.279,0.691,0.156,0.046,30,4.8
subjects,rh_entorhinal,472,340,1711,3.523,1.068,0.134,0.029,4,0.6
subjects,rh_fusiform,5277,3805,10574,2.649,0.732,0.138,0.043,71,10.1
subjects,rh_inferiorparietal,8768,6307,16700,2.325,0.744,0.133,0.037,94,12.6
subjects,rh_inferiortemporal,4993,3574,10947,2.655,0.918,0.134,0.037,54,7.2
subjects,rh_isthmuscingulate,1358,909,2811,2.904,1.027,0.133,0.042,16,2.1
subjects,rh_lateraloccipital,7545,5411,13688,2.491,0.646,0.147,0.041,79,12.6
subjects,rh_lateralorbitofrontal,3788,2747,8310,2.818,0.898,0.151,0.043,52,6.7
subjects,rh_lingual,4631,3362,7456,2.182,0.581,0.153,0.05,98,10.4
subjects,rh_medialorbitofrontal,2829,2087,6281,2.574,0.833,0.14,0.037,57,4.4
subjects,rh_middletemporal,5267,3739,12853,2.819,0.909,0.139,0.035,62,7.8
subjects,rh_parahippocampal,1119,755,2044,2.587,0.846,0.111,0.025,8,1.1
subjects,rh_paracentral,2215,1508,2951,1.872,0.469,0.113,0.023,15,2.2
